Name,Distance,Density,Temp,Mass,radius,Flux,Period,Eccentricity
K2-292 b,114.293,7.4,795,24.5,2.63,67,16.9841,0.04
K2-3 b,44.0727,3.11,501,5.11,2.078,10.5,10.0546535,0.107
K2-3 c,44.0727,3.7,372,2.68,1.582,3.17,24.646729,0.048
K2-3 d,44.0727,2.1,312,1.6,1.62,1.6,44.556456,0.097
K2-32 b,157.682,0.67,817,16.5,5.13,77.7,8.99213,0
K2-32 c,157.682,2.7,619,12.1,3.01,25.6,20.6602,0
K2-32 d,157.682,1.38,537,10.3,3.43,14.5,31.7154,0
K2-329 b,233.237,0.694,650,82.6358,8.676,45.7,12.4551225,0.0697
K2-36 b,109.749,7.2,1224,3.9,1.43,529,1.422614,0
K2-36 c,109.749,1.3,788,7.8,3.2,90,5.340888,0
K2-38 b,192.69,9.3,1310,7.7,1.655,490,4.01593,0.11
K2-38 c,192.69,3.8,916,8.3,2.29,117,10.56103,0.161
K2-39 b,307.47,1.17,1670,39.8,5.71,1356,4.60497,0.152
K2-419 A b,268.685,0.916,377,196,10.55,3.3,20.35847252,0.042
K2-66 b,513.877,7.8,1372,21.3,2.49,840,5.06963,0
K2-79 b,256.011,0.73,1022,9.2,4.09,181,10.9947,0.23
KELT-11 b,99.1596,0.093,1712,61.97685,15.356,1433,4.736529,0
KELT-12 b,368.03,0.209,1800,301.9385,19.952,1749,5.031623,0
KELT-18 b,321.376,0.377,2085,375.0394,17.598,3152,2.8717518,0
KELT-21 b,470.878,1.24,2051,1242.7153,17.777,2950,3.6127647,0
KELT-23 A b,126.261,0.503,1561,298.12454,14.83,991.18,2.255251,0
KELT-24 b,96.5173,3.13,1459,1646.3594,14.258,750.9,5.5514926,0.077
KELT-4 A b,218.05,0.228,1823,286.68266,19.044,1840,2.9895932,0
KELT-9 b,204.455,0.53,4050,915.3504,21.196,44900,1.4811235,0
KPS-1 b,262.706,1.31,1459,346.4347,11.545,729,1.706291,0
Kepler-10 b,185.506,5.57,2188,3.26,1.47,3820,0.8374907,0
Kepler-10 c,185.506,4.78,578,11.4,2.355,18.68,45.294301,0.13
Kepler-102 b,107.796,62,857,1.1,0.46,90,5.286965,0.1
Kepler-102 c,107.796,52,777,1.7,0.567,61,7.071392,0.094
Kepler-102 d,107.796,10.7,686,3,1.154,36.9,10.311767,0.092
Kepler-102 e,107.796,2.5,590,4.7,2.17,20.3,16.1456994,0.089
Kepler-102 f,107.796,37,495,4.3,0.861,10,27.453592,0.1
Kepler-103 b,494.832,1.28,973,9.8,3.486,149.9,15.9653287,0.093
Kepler-103 c,494.832,1.29,434,38,5.45,5.95,179.60978,0.095
Kepler-107 b,525.997,5.8,1592,3.8,1.536,1073,3.1800218,0.1
Kepler-107 c,525.997,13.5,1378,10,1.597,602,4.901452,0.08
Kepler-107 d,525.997,67,1173,7.7,0.86,315,7.95839,0.11
Kepler-107 e,525.997,3.18,955,14.1,2.903,138.7,14.749143,0.1
Kepler-109 b,474.861,1.7,1276,4.9,2.49,442,6.4816307,0.11
Kepler-109 c,474.861,2.4,859,8.2,2.65,91,21.22265,0.098
Kepler-111 c,657.223,3.42,352,222.47988,7.084,2.48,224.77833,0.176
Kepler-138 b,66.8624,1.7,452,0.07,0.64,9.9,10.3134,0.02
Kepler-138 c,66.8624,3.6,410,2.3,1.51,6.8,13.7815,0.017
Kepler-138 d,66.8624,3.6,345,2.1,1.51,3.4,23.0923,0.01
Kepler-1514 b,397.292,4.82,388,1678.1424,12.42,3.23,217.83184,0.401
Kepler-1654 b,568.117,1.2,206,158.915,9.18,0.3,1047.8356,0.26
Kepler-1655 b,213.26,2.72,938,5.4,2.213,129.1,11.8728787,0.19
Kepler-1661 b,410.607,1.6,243,17,3.87,0.88,175.06,0.057
Kepler-1704 b,835.455,4.07,254,1322.16617,11.949,0.34,988.88112,0.92
Kepler-1876 b,259.935,19,1299,2.4,0.853,475,6.99205,0.098
Kepler-19 b,218.562,3.1,851,6.1,2.209,87.6,9.28699,0.41
Kepler-20 b,282.563,9.4,1187,9.7,1.773,331,3.6961049,0.083
Kepler-20 c,282.563,2.51,828,11.1,2.894,78.7,10.8540774,0.076
Kepler-20 d,282.563,4.1,430,13.4,2.606,5.71,77.611455,0.082
Kepler-20 e,282.563,7.5,1004,0.76,0.821,169.8,6.0984882,0.092
Kepler-20 f,282.563,8.4,681,1.4,0.952,35.9,19.578328,0.094
Kepler-21 b,108.522,9.3,2015,7.5,1.639,2749,2.7858212,0
Kepler-22 b,194.642,5.2,279,9.1,2.1,1.01,289.863876,0.72
Kepler-323 b,454.883,8.2,1838,3.9,1.381,1900,1.678328,0.095
Kepler-323 c,454.883,9.6,1431,6.8,1.57,700,3.5538229,0.095
Kepler-37 b,63.9207,140,718,0.79,0.31,44.5,13.36702,0.098
Kepler-37 c,63.9207,15,615,1.3,0.755,23.9,21.301848,0.099
Kepler-37 d,63.9207,1.3,499,2,2.03,10.39,39.7922622,0.1
Kepler-409 b,68.173,19,438,6,1.199,6.15,68.9583216,0.69
Kepler-454 b,230.869,2.23,916,5.4,2.37,117.7,10.5737534,0.32
Kepler-538 b,155.956,6.5,417,12.9,2.215,5.07,81.73778,0.21
Kepler-553 c,728.525,7.53,251,2129.45033,11.579,0.59,328.24017,0.346
Kepler-68 b,144.166,3.37,1275,8.03,2.357,441,5.39875259,0.09
Kepler-68 c,144.166,7.5,1052,1.3,0.979,204,9.605027,0.099
Kepler-78 b,124.376,5.33,2223,1.68,1.201,4070,0.35500745,0
Kepler-849 b,822.134,3.09,363,298.7587,8.082,2.86,394.62508,0.078
Kepler-93 b,95.9115,7.93,1133,4.66,1.478,275,4.72673978,0
L 98-59 b,10.6194,3.6,627,0.4,0.85,24.7,2.2531136,0.103
L 98-59 c,10.6194,4.57,553,2.22,1.385,12.8,3.6906777,0.103
L 98-59 d,10.6194,2.95,416,1.94,1.521,5.01,7.4507245,0.074
LHS 1140 b,14.9861,12.5,230,6.65,1.43,0.46,24.73712,0.29
LHS 1140 c,14.9861,4.7,438,1.81,1.282,6.16,3.777931,0.31
LTT 1445 A b,6.86929,7.1,424,2.87,1.305,5.4,5.3587657,0.11
LTT 1445 A c,6.86929,5.57,508,1.54,1.147,10.9,3.1239035,0.223
LTT 3780 b,21.9814,5.8,903,2.46,1.325,111,0.76837931,0
LTT 3780 c,21.9814,2.45,397,6.29,2.42,2.88,12.252131,0.115
NGTS-1 b,218.121,0.42,790,258.07796,14.908,65.3,2.647298,0.016
NGTS-12 b,446.442,0.223,1257,66.10864,11.747,416,7.532806,0
NGTS-13 b,647.595,4.02,1605,1538.2972,12.801,1096,4.119027,0.086
NGTS-15 b,786.485,0.74,1146,238.68913,12.33,425,3.27623,0
NGTS-16 b,898.168,0.38,1177,211.99155,14.572,480,4.84532,0
NGTS-17 b,1040.28,0.5,1457,242.8209,13.899,1160,3.24253,0
NGTS-18 b,1096.19,0.28,1381,129.99182,13.563,845,3.05125,0
NGTS-26 b,1093.69,0.153,1331,92.80589,14.886,523,4.5199279,0
NGTS-27 b,942.122,0.266,1783,188.47225,15.648,1680,3.3704181,0
NGTS-8 b,428.976,0.89,1345,295.5819,12.218,503,2.4997,0.01
NGTS-9 b,609.128,2.93,1448,921.707,11.994,729,4.43527,0.06
PH2 b,343.863,0.58,295,87.08498,9.337,1.2,282.52542,0.215
Qatar-3 b,735.601,4,1681,1369.8473,12.285,1330,2.5079204,0
Qatar-4 b,329.036,5.1,1385,1938.763,12.722,614,1.8053564,0
Qatar-5 b,367.658,3.95,1415,1373.0256,12.408,669,2.8792319,0
TIC 139270665 b,189.875,2.13,703,147.15455,7.23,40.3,23.624,0.105
TIC 393818343 b,93.7345,4.22,806,1379.37529,12.184,2.28,16.24921,0.6058
TOI-1052 b,129.804,3.93,1135,16.9,2.87,246,9.139703,0.18
TOI-1062 b,82.1733,4.85,1077,10.15,2.265,232,4.11296,0.177
TOI-1064 b,68.0726,4.30062,784,13.5,2.587,62.9,6.443868,0.047
TOI-1064 c,68.0726,0.77191,634,2.5,2.651,26.8,12.226574,0.088
TOI-1075 b,61.4592,9.32,1323,9.95,1.791,509.2,0.6047328,0
