Name,Distance,Density,Temp,Mass,radius,Flux,Period,Eccentricity,Gravity,esi,Habbitable accourding to esi
Kepler-409 b,68.173,19,438,6,1.199,6.15,68.9583216,0.69,40.90147405,0.43784921,Unhabbitable
Kepler-454 b,230.869,2.23,916,5.4,2.37,117.7,10.5737534,0.32,9.421567057,0.24658368,Unhabbitable
Kepler-538 b,155.956,6.5,417,12.9,2.215,5.07,81.73778,0.21,25.76726506,0.44640241,Unhabbitable
Kepler-553 c,728.525,7.53,251,2129.45033,11.579,0.59,328.24017,0.346,155.6508449,0.39186564,Unhabbitable
Kepler-68 b,144.166,3.37,1275,8.03,2.357,441,5.39875259,0.09,14.16519169,0.24018701,Unhabbitable
Kepler-68 c,144.166,7.5,1052,1.3,0.979,204,9.605027,0.099,13.29241967,0.29952999,Unhabbitable
Kepler-78 b,124.376,5.33,2223,1.68,1.201,4070,0.35500745,0,11.41430157,0.2903106,Unhabbitable
Kepler-849 b,822.134,3.09,363,298.7587,8.082,2.86,394.62508,0.078,44.82382816,0.34722186,Unhabbitable
Kepler-93 b,95.9115,7.93,1133,4.66,1.478,275,4.72673978,0,20.90562348,0.28489884,Unhabbitable
L 98-59 b,10.6194,3.6,627,0.4,0.85,24.7,2.2531136,0.103,5.425605536,0.34784141,Unhabbitable
L 98-59 c,10.6194,4.57,553,2.22,1.385,12.8,3.6906777,0.103,11.3417352,0.39979099,Unhabbitable
L 98-59 d,10.6194,2.95,416,1.94,1.521,5.01,7.4507245,0.074,8.218061321,0.52714337,Unhabbitable
LHS 1140 b,14.9861,12.5,230,6.65,1.43,0.46,24.73712,0.29,31.86952907,0.65784339,Unhabbitable
LHS 1140 c,14.9861,4.7,438,1.81,1.282,6.16,3.777931,0.31,10.7926626,0.51278419,Unhabbitable
LTT 1445 A b,6.86929,7.1,424,2.87,1.305,5.4,5.3587657,0.11,16.51531833,0.36118048,Unhabbitable
LTT 1445 A c,6.86929,5.57,508,1.54,1.147,10.9,3.1239035,0.223,11.47149343,0.39175357,Unhabbitable
LTT 3780 b,21.9814,5.8,903,2.46,1.325,111,0.76837931,0,13.73186187,0.29837792,Unhabbitable
LTT 3780 c,21.9814,2.45,397,6.29,2.42,2.88,12.252131,0.115,10.52557885,0.55893576,Unhabbitable
NGTS-1 b,218.121,0.42,790,258.07796,14.908,65.3,2.647298,0.016,11.37989421,0.076503599,Unhabbitable
NGTS-12 b,446.442,0.223,1257,66.10864,11.747,416,7.532806,0,4.694943401,0.077951308,Unhabbitable
NGTS-13 b,647.595,4.02,1605,1538.2972,12.801,1096,4.119027,0.086,91.99803051,0.070612847,Unhabbitable
NGTS-15 b,786.485,0.74,1146,238.68913,12.33,425,3.27623,0,15.38624218,0.074527643,Unhabbitable
NGTS-16 b,898.168,0.38,1177,211.99155,14.572,480,4.84532,0,9.783771491,0.064237767,Unhabbitable
NGTS-17 b,1040.28,0.5,1457,242.8209,13.899,1160,3.24253,0,12.31813701,0.065644483,Unhabbitable
NGTS-18 b,1096.19,0.28,1381,129.99182,13.563,845,3.05125,0,6.925172193,0.06729161,Unhabbitable
NGTS-26 b,1093.69,0.153,1331,92.80589,14.886,523,4.5199279,0,4.104361322,,Unhabbitable
NGTS-27 b,942.122,0.266,1783,188.47225,15.648,1680,3.3704181,0,7.543203358,,Unhabbitable
NGTS-8 b,428.976,0.89,1345,295.5819,12.218,503,2.4997,0.01,19.40455424,0.074699599,Unhabbitable
NGTS-9 b,609.128,2.93,1448,921.707,11.994,729,4.43527,0.06,62.7900563,0.075233375,Unhabbitable
PH2 b,343.863,0.58,295,87.08498,9.337,1.2,282.52542,0.215,9.789367094,0.41422066,Unhabbitable
Qatar-3 b,735.601,4,1681,1369.8473,12.285,1330,2.5079204,0,88.95040138,0.073024845,Unhabbitable
Qatar-4 b,329.036,5.1,1385,1938.763,12.722,614,1.8053564,0,117.3924093,0.071768861,Unhabbitable
Qatar-5 b,367.658,3.95,1415,1373.0256,12.408,669,2.8792319,0,87.39792883,0.073190977,Unhabbitable
TIC 139270665 b,189.875,2.13,703,147.15455,7.23,40.3,23.624,0.105,27.58818795,,Unhabbitable
TIC 393818343 b,93.7345,4.22,806,1379.37529,12.184,2.28,16.24921,0.6058,91.06022873,,Unhabbitable
TOI-1052 b,129.804,3.93,1135,16.9,2.87,246,9.139703,0.18,20.10707912,0.21894007,Unhabbitable
TOI-1062 b,82.1733,4.85,1077,10.15,2.265,232,4.11296,0.177,19.38901315,0.24823389,Unhabbitable
TOI-1064 b,68.0726,4.30062,784,13.5,2.587,62.9,6.443868,0.047,19.76819365,0.24692749,Unhabbitable
TOI-1064 c,68.0726,0.77191,634,2.5,2.651,26.8,12.226574,0.088,3.486154488,0.26984246,Unhabbitable
TOI-1075 b,61.4592,9.32,1323,9.95,1.791,509.2,0.6047328,0,30.39890812,0.26758479,Unhabbitable
TOI-1107 b,281.314,1.89,1728,1064.72516,14.572,532,4.0782387,0.025,49.13888156,0.062731753,Unhabbitable
TOI-1130 b,58.2609,2.34,632,19.28,3.56,78.1,4.07445,0.0541,14.90847115,0.20625668,Unhabbitable
TOI-1130 c,58.2609,0.75,498,325.69,13.32,30,8.350231,0.0457,17.98962251,0.10477208,Unhabbitable
TOI-1173 b,132.353,0.195,868,27.4,9.19,132,7.06466,0.023,3.179403264,,Unhabbitable
TOI-1201 b,37.8871,2.45,703,6.28,2.415,40.6,2.4919863,0,10.55240496,0.26542094,Unhabbitable
TOI-1231 b,27.6227,1.74,330,15.4,3.65,1.93,24.245586,0.087,11.32820417,0.53541361,Unhabbitable
TOI-1235 b,39.6345,7.4,754,6.91,1.738,53.6,3.444729,0.15,22.4183982,0.29250734,Unhabbitable
TOI-125 b,111.059,2.57,1037,9.5,2.726,185,4.65382,0.194,12.52846829,0.22719779,Unhabbitable
TOI-125 c,111.059,1.73,828,6.63,2.759,77.59,9.15059,0.066,8.535642225,0.23538553,Unhabbitable
TOI-125 d,111.059,2.98,638,13.6,2.93,26.7,19.98,0.168,15.52493331,0.2556295,Unhabbitable
TOI-1260 b,73.5977,3.69,860,8.6,2.34,91,3.12748,0,15.39192052,0.24829987,Unhabbitable
TOI-1260 c,73.5977,3.45,651,13.2,2.76,29.81,7.493134,0,16.98172653,0.26044049,Unhabbitable
TOI-1260 d,73.5977,2.14,499,11.84,3.12,10.32,16.608164,0,11.91978961,0.31303266,Unhabbitable
TOI-1266 b,36.0118,1.3,425,4.23,2.62,5.5,10.894841,0.22,6.038983742,0.45212485,Unhabbitable
TOI-1266 c,36.0118,1.6,354,2.88,2.13,2.7,18.801611,0.34,6.220987899,0.6755864,Unhabbitable
TOI-132 b,163.678,3.08,1395,22.4,3.42,860,2.1097019,0.059,18.76816798,0.19523969,Unhabbitable
TOI-1386 b,146.858,1.16,676,47.0386,6.053,34.68,25.83839,0.061,12.58169391,0.16200823,Unhabbitable
TOI-1416 b,55.0135,4.5,1517,3.48,1.62,883,1.0697568,0,12.99497028,0.27479549,Unhabbitable
TOI-1420 b,201.918,0.082,957,25.1,11.89,139,6.9561063,0.17,1.739947274,0.081862701,Unhabbitable
TOI-1431 b,148.925,1.17,2370,991.62463,16.701,5300,2.650237,0.0022,34.8408249,0.05499555,Unhabbitable
TOI-1448 b,73.3345,9.51,426,19.5,2.749,5.45,8.112245,0.36,25.28780928,,Unhabbitable
TOI-1452 b,30.5212,5.6,326,4.82,1.672,1.8,11.06201,0,16.89664843,0.72006129,Habbitable
TOI-1470 b,51.9503,3.86,734,7.32,2.18,46.3,2.527093,0.3,15.094689,0.27249568,Unhabbitable
TOI-1470 c,51.9503,2.66,373,7.24,2.47,3.35,18.08816,0.5,11.62975954,0.48716066,Unhabbitable
TOI-157 b,355.683,0.686,1588,375.0394,14.415,1062,2.0845435,0,17.68779424,0.063626305,Unhabbitable
TOI-1634 b,35.2736,4.7,924,4.91,1.79,121,0.989343,0.16,15.01763366,0.27812161,Unhabbitable
TOI-1685 b,37.6153,5.3,1062,3.03,1.468,236,0.66913924,0,13.77896487,0.27552783,Unhabbitable
TOI-169 b,407.84,0.76,1715,251.40353,12.173,1443,2.2554477,0,16.62655231,0.073547287,Unhabbitable
TOI-1695 b,45.1309,5,698,6.36,1.9,39,3.1342791,0.097,17.26537396,0.29288865,Unhabbitable
TOI-1696 b,64.9172,9.44,533,56.6,3.24,13.5,2.50031,0,52.83874409,0.29102118,Unhabbitable
TOI-172 b,342.831,7.53,1198,1722.6386,10.817,299,9.47725,0.3806,144.2801518,0.083616787,Unhabbitable
TOI-1728 b,60.798,1.14,767,26.78,5.05,57.78,3.49151,0.057,10.29091266,0.16903063,Unhabbitable
TOI-1736 b,88.9482,2.3,1186,11.9,3.05,329.6,7.073091,0.16,12.53641494,0.23735357,Unhabbitable
TOI-1759 b,40.0654,1.91,443,10.8,3.14,6.39,18.85019,0,10.7347154,0.36913808,Unhabbitable
TOI-181 b,96.2338,0.7562,895,46.1687,6.956,102.43,4.532,0.1543,9.350925029,0.12747148,Unhabbitable
TOI-1899 b,128.438,0.85,378,212.94503,11.097,3.4,29.090312,0.044,16.9465935,0.27815324,Unhabbitable
TOI-1937 A b,415.135,1.28,2097,638.8351,13.978,3230,0.94667944,0,32.0423805,0.064711132,Unhabbitable
TOI-2000 b,175.713,3.07,1488,11,2.7,628,3.09833,0,14.78737997,0.22386598,Unhabbitable
TOI-2000 c,175.713,0.829,1038,81.7,8.14,149,9.127055,0.063,12.08368297,0.11011316,Unhabbitable
TOI-2010 b,109.19,1.36,400,408.72733,11.814,4.09,141.834025,0.212,28.69893766,0.25627349,Unhabbitable
TOI-2015 b,47.3444,2.32,512,16.4,3.39,11.47,3.348968,0,13.98525944,,Unhabbitable
TOI-2120 b,32.1755,20.6,384,6.8,2.122,3.61,5.7998164,0.32,14.79940412,,Unhabbitable
TOI-2134 b,22.6202,2.607,666,9.13,2.69,32,9.2292005,0.06,12.36494797,0.26148817,Unhabbitable
TOI-2134 c,22.6202,0.599,306,41.89,7.27,1.4,95.5,0.67,7.767255912,0.4221411,Unhabbitable
TOI-2136 b,33.3631,9.53,403,15,2.09,4.4,7.85191,0,33.65307571,0.50033629,Unhabbitable
TOI-216.01,177.945,0.76,497,200,11.29,10.1,34.556,0.029,15.37687867,0.19583607,Unhabbitable
TOI-216.02,177.945,0.34,628,30,7.69,25.9,17.089,0.132,4.971582502,0.15209378,Unhabbitable
TOI-2180 b,116.685,3.32,348,875.61726,11.321,2.71,260.79,0.3683,66.95311827,0.27154701,Unhabbitable
TOI-2193 A b,337.064,0.06,1763,298.7587,19.84,1600,2.1225735,0,7.438122063,0.047425414,Unhabbitable
TOI-2196 b,259.947,3.31,1860,26,3.51,2000,1.1947268,0,20.68165031,0.19138232,Unhabbitable
TOI-2207 b,373.345,0.8,1259,203.41018,11.153,406,8.001968,0.174,16.025639,0.081151609,Unhabbitable
TOI-2236 b,355.59,0.93,1688,502.16888,14.37,1356,3.5315902,0,23.83210123,0.063584566,Unhabbitable
TOI-2364 b,219.614,0.61,1091,71.51139,8.608,237,4.0197517,0,9.457944882,0.10272673,Unhabbitable
TOI-2379 b,211.247,6.21,624,1830.69162,11.725,25.3,5.4693827,0.342,130.5015189,,Unhabbitable
TOI-238 b,80.5407,6.8,1311,3.4,1.402,728,1.2730991,0.18,16.95153246,0.28487692,Unhabbitable
